Serial Searched,Status,Asset UID,Asset Code,Asset Name,Asset Serial Number,Asset Status,Category,Active,Created At,Netsuite Internal ID,Laser Model
CR-SM-00282,NOT FOUND,,,,,,,,,,
CR-SM-003349,NOT FOUND,,,,,,,,,,
CR-SM-003549,NOT FOUND,,,,,,,,,,
CR-SM-003560,NOT FOUND,,,,,,,,,,
CR-SM-003584,NOT FOUND,,,,,,,,,,
CR-SM-003587,NOT FOUND,,,,,,,,,,
CR-SM-003605,NOT FOUND,,,,,,,,,,
CR-SM-003609,NOT FOUND,,,,,,,,,,
CR-SM-003615,NOT FOUND,,,,,,,,,,
CR-SM-003641,NOT FOUND,,,,,,,,,,
CR-SM-003666,NOT FOUND,,,,,,,,,,
CR-SM-003669,NOT FOUND,,,,,,,,,,
CR-SM-003673,NOT FOUND,,,,,,,,,,
CR-SM-003685,NOT FOUND,,,,,,,,,,
CR-SM-003806,NOT FOUND,,,,,,,,,,
CR-SM-003865,NOT FOUND,,,,,,,,,,
CR-SM-003868,NOT FOUND,,,,,,,,,,
CR-SM-004088,NOT FOUND,,,,,,,,,,
CR-SM-004111,NOT FOUND,,,,,,,,,,
